P60866,P63220,P62273,P46783,Q9ULC4,P62081,O00571,P08708,P62277,P62847,P62269,P62701,P39019,P62841,P62280,P62249,P62263,P62266,P62244,P62241,P61247,P62753,P62857,Q71RC2,P62854,P46781,P46782,P15880,P08865,P42677,P62851,P62861,Q7Z478,,,,,,,,,,,,,,
P61353,P61513,P18124,P18621,P47914,P46776,P62899,P83881,P83731,P62910,Q02878,Q8WUZ0,P35268,P49207,Q9Y3U8,P61254,P26373,P05388,P61313,P46777,P46778,P46779,P50914,P62750,P18077,P62917,P40429,P39023,Q8TAD8,P84098,P62888,P62906,P05387,P62424,P61927,Q07020,P30050,P62913,P63173,P42766,Q8TBX8,P48426,P62829,P36578,P56537,Q9NW75,Q5T3I0
P05787,P08727,Q8WWM7,Q15233,Q86YZ3,Q9Y3A5,P35908,Q14157,P14618,P81605,Q5T749,P69905,P04264,P02533,P28799,P13645,Q8N1N4,P35527,P49750,Q9NZT1,P08779,Q86X29,Q9NR45,P04792,P13647,P23396,Q5T6F2,P68871,P25398,P04259,O75170,,,,,,,,,,,,,,,,
Q92499,Q9Y3F4,Q9Y3I0,Q9Y224,Q9Y3L3,Q9Y3D9,O75312,Q9Y3E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62318,P14678,O14744,Q9BQA1,P62314,P62316,P54105,P08621,P09234,O43395,P55081,Q16629,Q9BRD0,P84090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01105,P06753,P27695,Q01082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26641,Q9UG63,P11021,P07437,Q16531,Q9BXP5,Q9BUQ8,Q13185,O15234,Q13573,Q9Y3C6,Q92620,Q9UQ35,Q9BUR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96HR8,Q8TBZ6,O00567,Q96HP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17174,P04080,P10768,P49773,Q96ST3,P05141,P30044,Q9BX68,P60174,P16930,P36871,P15941,P78417,P20073,Q969H8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95816,O95817,P04040,Q9UJY1,Q8IV08,P29401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62306,Q9Y3F4,P09661,Q9Y5S9,Q8TEQ6,O75940,P41223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15428,Q13435,Q15427,Q12874,Q15459,Q15637,Q15436,P62308,Q86XP3,Q12931,Q15437,Q9UNN8,Q15435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15031,Q15032,Q9NZL4,Q13433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16576,Q12824,O00422,P20700,O96019,Q92922,Q92769,Q13547,Q969G3,O60341,Q9UKL0,Q9UPN9,Q9C005,O15379,Q92925,Q13263,Q13813,Q8TAQ2,Q02880,Q96GM5,P61964,Q86X55,,,,,,,,,,,,,,,,,,,,,,,,,
P05787,P04406,Q12906,Q12905,Q8WWM7,P35908,P14618,P04264,Q99700,P11142,O43707,A00000,P14866,Q05639,Q08554,P04792,P23396,Q5D862,Q9UII2,P32119,P23246,P05783,,,,,,,,,,,,,,,,,,,,,,,,,
O43660,O60306,Q9UMS4,P14678,Q9NW64,Q9UNP9,O15234,Q13573,Q9Y3C6,Q92620,Q9UQ35,O75934,P50851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60832,Q9HCK8,Q9Y230,Q15291,Q9Y265,Q8NFC6,Q6PI98,Q9C086,Q15545,Q8IXM2,Q96L91,O94763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6P2Q9,Q9P2P5,Q6P4I2,Q6P3S6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15910,P30622,O75530,Q15022,Q6ZN18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
