Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230223\2023022-LW-S1.mzML	D:\liuwei\20230223\2023022-LW-S2.mzML	D:\liuwei\20230223\2023022-LW-S3.mzML	D:\liuwei\20230223\2023022-LW-SP1.mzML	D:\liuwei\20230223\2023022-LW-SP2.mzML	D:\liuwei\20230223\2023022-LW-SP3.mzML
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	74164.4	66242.8	68835.5	38815.3	53121.4	47735.2
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	33745.3	28722.9	36976.9	37914.8	36099.9	49058.1
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	157240	166357	145898	123075	127965	142917
A0JLT2	A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	149716	166449	176613	177567	134889	148726
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	72865.1	74414.9	69747.5	90839.5	81253.5	84664.7
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	26818.6	22652.4	35314.5	24938.4	31509.5	26263.6
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	43768.8	38498.6	35192.8	37567.1	39101.7	39344.7
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	122000	140499	148726	110763	148646	118571
A1L390	A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3		14094.6	21182.7	22533.6	19352.6	48715.7
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	225173	221978	240644	279197	299649	292156
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	40553.9	39915.5	26328.7	36101.9	27643.6	35810
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	67202.4	53679.3	59648	48192.4	52800.9	50094.6
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	323978	317832	312072	288833	293117	266939
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	53875.7	38806.3	41232.3	33978.6	34099.9	31772.7
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	66018.3	65645.8	66121.4	55702	46316.7	60826.7
A5A3E0	A6NI47;A5A3E0;P0CG39;B2RU33;P0CG38;Q6S5H5;A0JP26;Q6S8J7;Q6S545;H3BUK9;A0A0A6YYL3;Q6S8J3	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	336091	521842	409169	321238	252273	400301
A5PLL7	A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	147612	98960.9	133153	60851.4	96203	53492.5
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	403120	396966	417247	332013	343470	358713
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	103794	82632.5	93942.9	76097.2	86011.6	89223.9
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	126466	114483	121609	139471	112791	128215
A6NDU8	A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	47355	56300.2	94324.3	33824.6	54342.4	21539.5
A6NFI3	Q14872;Q8N9L1;A6NFI3;Q9HBT8;Q9BY31;P0CG31	ZN316_HUMAN	ZNF316	Zinc finger protein 316	35147.5	19858.8	37330.1	29175.1	31908	36642.4
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2		13396.2	8957.25	8994.67	6671.77	15741.3
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	111574	108145	103690	108467	118145	117593
A6NIH7	Q13432;A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	62788.9	48235.2	83739.2	54654.4	57760.3	68159.4
A6NIZ1;P61224	P62834;A6NIZ1;P61224	RAP1B_HUMAN;RP1BL_HUMAN	RAP1B	Ras-related protein Rap-1b-like protein		60359.2	48666.7	24623.1	56795.8	71395.4
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	96908.6	77090.1	88178.5	107645	107735	94880.3
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	55151.2	37347.3	43672.9	60000.1	46355	
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	62040	83290	88351.5	72335.3	63330.1	73341.9
A8CG34	A8CG34;Q96HA1;A6NF01	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	70457.1	70208.2	74361.3	37455.1	52861.6	48774.4
A8K0S8	Q99687;A8K0S8;A6NDR6	ME3L2_HUMAN	MEIS3P2	Putative homeobox protein Meis3-like 2		77822.9	76006.5	118918	109205	
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	449036	703840	587748	444598	320061	434844
A8MYB1	A8MYB1	TMC5B_HUMAN	TMCO5B	Transmembrane and coiled-coil domain-containing protein 5B	269940	222396			182967	206167
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	344201	305948	358162	471276	473535	491096
B1AK53	B1AK53	ESPN_HUMAN	ESPN	Espin	36498.8	22862.2				
C4AMC7;Q6VEQ5;Q9NQA3	A8MWX3;Q9NQA3;C4AMC7;A8K0Z3;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN;WASH6_HUMAN	WASH2P;WASH3P;WASH6P	Putative WAS protein family homolog 3	132131	115028	102542	120649	99610.7	148663
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	74018	75762.9	83590.7	99638.4	102003	84502.5
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	193212	187789	178873	233791	216891	219616
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	89810.1	84700.8	137329	75822.6	73919.5	69102.3
G2XKQ0	G2XKQ0	SUMO5_HUMAN	SUMO1P1	Small ubiquitin-related modifier 5					46209.3	38889.7
M5A8F1	M5A8F1	SUPYN_HUMAN	ERVH48-1	Suppressyn	244127	204046	182017	114043	216982	214807
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	214662	258981	228783	240729	292860	286309
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	103719	105314	95119.2	105962	98500.4	106355
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	90668.9	96650.9	82763.6	114907	94778.7	109310
O00142	O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	190370	150419	166479	200557	218749	204214
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	315593	322679	288989	312406	281526	316283
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	304507	304014	282398	356179	371616	379790
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	198378	175515	196485	216054	232778	243023
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	191257	175033	206371	133884	143407	141820
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	144154	143934	128617	81375	108129	110887
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	225773	182299	217960	298052	271279	265366
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	148967	169445	192694	186637	203419	169741
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	39909.6	29433.8	33147.6	32996.6	26930.3	53123.6
O00192	O00192	ARVC_HUMAN	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome	16127.9		7024.29	13192.9		
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	367688	299104	393827	354116	327413	378565
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	152318	135559	137690	114003	124938	112836
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	399521	418531	488628	403480	334280	329341
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	284604	278157	270760	301360	306400	299909
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	189408	193608	196685	207496	202024	203590
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	471321	461723	478718	416329	442696	462725
