Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N43.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P43.mzML
A00000	P12931;A00000	SH2SUPER_HUMAN	SH2SP	SH2-derived sh3 superbinder	1.25459e+07	2.39587e+06	7.24867e+06	1.59824e+06	2.20618e+06	6.11483e+06	5.81736e+06	5.63137e+06	1.26423e+06	2.43821e+06	4.53494e+06	1.20683e+07	1.95992e+07	4.21707e+07	1.00538e+08	7.8243e+07	1.03389e+08	1.00159e+08	1.13516e+08	4.49451e+07	4.16842e+07	3.82036e+07	3.46281e+07	3.50576e+07	4.55849e+07	4.30968e+07	3.3232e+07	3.20197e+07	2.5456e+07	1.43907e+07	3.29975e+07	2.58897e+07	6.94151e+07	4.05577e+07	1.01909e+08	1.34337e+07	1.67575e+07	6.14701e+06	2.11611e+06	7.82026e+06	2.3605e+06	1.24883e+06	525443	780408	2.01039e+06	1.20177e+07	2.32894e+07	4.66761e+07	8.40862e+07	7.34284e+07	1.18992e+08	2.98847e+07	8.90449e+07	5.72605e+07	2.15886e+08	4.78839e+07	3.55289e+07	4.87011e+07	3.49734e+07	3.1423e+07	3.12373e+07	2.18307e+07	2.5422e+07	1.82192e+07	3.88049e+07	4.38543e+07	3.05947e+07	2.70202e+07
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.40748e+06	2.41698e+06	3.26803e+06	2.5255e+06	1.52361e+06	940002	811637	306790	110144	64087.5	77440.6	32417	25345.6	22848	13137	14380	8862.96	43797.8						36929.1											625503	4.58381e+06	3.83826e+06	3.39228e+06	3.37363e+06	2.02127e+06	1.61605e+06	441311	177170	103597	107314	44224.4	18344.6	24122.9	22128.4	25192.3												14559.5			283465			
A0A0U1RR11;P0DPI3	A0A0U1RR11;A0A0U1RRI6;P0DPI3	CENL1_HUMAN;CENL2_HUMAN	CENPVL1;CENPVL2	Centromere protein V-like protein 1	744650		36269.4	126894											5974.7	8134.76																					61022.8												7156.11																			
A0A0U1RRE5	A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association		24532										10741.7	33905.3																																	21743.8	17205.3																					
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47															10086.8	17121.6	28355.9	32641.5	22899.7	11267	12919.8	14108.5	10113.5	8044.99	17791.1	21887.7																					49623.4			9727.21	17408.2					11122.6	23554.3		6106.36									
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2										33799.7			7713.74	6153.6	33333.9	9365.85												35793.1	36330.2																					10537.2											7500.29	36137	51546.6	45518.3				
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1												28230.1	13629.5	32444.9	14895.6	25195	56852.7	94300.8	122168	100847	38626.5	29856	26434	21663.9	18669.5	19272.6	14485.1	20272.3	79252.9																			28229.5	10091.2	33542.1	71033.7	75072	119648	51434.5		46893.8	32359.7		32690	36196.4	20617.3							
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10								81571.5		33966.9	32639.5	27119.7	15491.3	20185.8	7623.87	83687.8		4758.06			15905.8	54888.1	182427	174336	91146.8	64153.6	34955.8	26935.9																				7922.01			48691					68988.8	170103		78710	56179.3	28321.9	117126						
A1L390	A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3																							11385.1				10930.3	55153.2	21266																																11549.1	37158.6						
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B																	14971.5	10683.7	14362																														8869.31	18492.5	38424.5	40655.9								10762								
A2RUR9;Q8IYA2	A2RUR9;Q8IYA2	C144A_HUMAN;C144C_HUMAN	CCDC144A;CCDC144CP	Coiled-coil domain-containing protein 144A												32777.4	16497.1	20826.8	21248.5		30967.5	57475.6	73355.8		60733.6	15561.5	11946.6				159401		151294																	51842.4		31969.5	20550.2	6542.83	9032.7										84132.6		53466.3					
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10																												59194.2	24378																																13929.9	45126.6						
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11													29416.6	22774.4	44512.8	32499.9	21516.2	15020.4	6573.18			7301.65	21227.4																									24545.6	45956.5	33734.3	22395.9																	
A5PLL1	A5PLL1	AN34B_HUMAN	ANKRD34B	Ankyrin repeat domain-containing protein 34B														5130.79		11256																																	6311.94	7477.42																		
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1										10025.5			15179.3	10393.2	14939.2	18062.9	27522.3	20681	11726.9		13118.3	13710.4	17714.5	9144.27	17036.8	12330				40071.3																			15301.3												18509.6							
